userId,movieId,rating,timestamp
16,9,3.4,1623168705
21,15,4.4,1720359584
33,15,2.7,1627245329
4,17,3.1,1733617383
48,7,0.5,1714295787
25,4,4.9,1674655327
47,7,3.7,1591937361
41,2,1.2,1590387396
37,8,2.9,1583906454
2,5,2.7,1719068067
42,18,4.7,1702886592
29,15,4.8,1590972337
22,5,4.0,1634570384
17,16,2.8,1730721618
35,12,4.7,1625123292
36,7,4.7,1587374089
13,7,3.3,1711179647
26,10,2.0,1642135281
10,16,2.3,1581616827
31,15,4.6,1671363056
12,15,4.1,1660466907
24,20,5.0,1625223264
30,10,4.3,1609237935
9,18,4.6,1671049552
28,9,3.0,1693239023
50,13,1.0,1715103230
1,14,1.9,1702123360
41,18,3.8,1714362889
43,14,0.7,1596421955
19,1,2.6,1706369579
5,9,4.1,1708603746
35,3,3.6,1704209028
48,20,2.5,1583372376
46,19,2.7,1712152582
18,9,3.3,1645536098
23,13,4.2,1609003030
40,4,2.5,1621992596
37,10,1.5,1612027531
6,3,3.5,1619896764
32,11,1.5,1690347901
38,15,2.1,1702751948
18,9,3.6,1724917484
42,3,2.4,1680710037
4,18,3.1,1665795910
10,2,5.0,1687441768
19,1,3.9,1629290887
1,2,3.5,1731725384
38,4,2.1,1686919899
40,10,2.3,1680297240
41,3,4.1,1704991352
7,12,3.7,1723875238
39,17,4.0,1724350093
26,6,4.3,1646275183
44,9,2.9,1675383179
37,16,3.9,1636146533
47,6,2.1,1679274793
9,1,2.5,1725000308
4,5,1.5,1670169861
24,18,2.0,1715042860
31,11,1.3,1695957473
15,14,0.5,1663180241
35,16,2.3,1642344120
23,10,1.7,1656414411
25,14,2.8,1614759345
49,19,2.8,1714981236
26,14,0.5,1672628663
3,12,3.0,1667941872
2,3,2.0,1619461967
48,13,2.8,1651182022
36,12,3.5,1600387376
1,6,2.4,1633157685
33,20,1.2,1598770131
29,9,3.2,1660045059
12,7,1.6,1581371540
5,17,3.7,1619768017
18,11,1.5,1588709610
26,16,1.4,1706432836
10,9,2.4,1598090174
22,19,1.8,1662030713
14,9,3.5,1647470494
16,19,1.4,1599642027
14,14,3.9,1734208062
2,15,3.5,1712620117
10,3,2.4,1645967572
39,6,1.4,1650411705
17,2,1.9,1674493341
33,15,3.4,1648343930
39,11,2.0,1605048929
11,15,3.2,1640473589
28,15,3.3,1614246295
48,6,2.3,1598258877
26,1,0.7,1654025050
5,7,2.7,1705656973
19,4,4.5,1646147790
42,10,4.9,1628548938
9,9,2.4,1705589836
45,16,4.6,1609975270
38,1,3.2,1590190016
45,5,1.8,1725345334
15,20,2.6,1578102947
45,5,1.8,1630681717
2,14,1.8,1596310456
28,7,4.0,1628663316
6,14,3.8,1662606971
48,4,3.6,1628890599
20,4,3.0,1695188137
24,19,0.6,1710353932
23,15,3.3,1651401849
4,17,2.6,1586612869
45,4,4.5,1646562425
39,19,4.9,1718993110
32,1,1.0,1653103927
30,7,1.8,1715506151
11,16,2.3,1640566017
16,2,3.8,1670652343
31,8,2.9,1578620961
47,6,1.2,1651882652
31,2,2.5,1631236296
10,17,1.9,1633206992
13,18,3.0,1717651989
36,11,4.9,1733936979
13,12,1.2,1664162748
14,10,4.9,1635305934
47,17,4.0,1660062601
17,1,1.0,1731730937
26,10,4.6,1668064313
14,13,3.0,1689363232
24,14,3.7,1622689163
11,4,4.8,1591360854
35,12,2.9,1693428261
25,19,1.3,1708402475
5,3,4.1,1732955621
38,2,3.3,1726149361
38,2,3.7,1657997670
16,8,1.3,1609377067
34,17,5.0,1609241406
36,9,2.3,1675449465
30,13,2.2,1724560879
40,18,1.4,1706454139
10,4,3.7,1677670748
38,9,4.8,1625334847
29,10,4.2,1592295352
14,10,2.3,1617498199
14,10,2.2,1648022860
29,12,4.6,1671782194
8,3,2.0,1721381647
21,11,1.2,1632332047
50,17,1.9,1578755005
10,17,4.8,1641149112
28,18,2.1,1634788949
17,6,1.5,1667994374
20,20,1.8,1677992514
38,20,3.9,1715981274
3,2,1.3,1590524937
35,17,4.0,1735534300
27,5,0.9,1726246683
47,9,1.5,1725948469
36,15,3.3,1646093552
36,2,3.9,1616739749
7,10,1.2,1671405040
14,4,2.0,1709179167
16,8,4.7,1587487150
5,16,0.7,1597227865
27,7,0.7,1720550981
46,13,1.1,1669319352
46,5,1.0,1726287404
19,19,0.7,1633168790
3,10,4.8,1592288604
8,16,2.5,1731668439
11,7,1.8,1676921166
40,9,1.4,1587768404
37,16,1.3,1688607207
22,7,2.0,1647915675
39,10,1.5,1597331454
34,12,1.1,1716557549
48,5,4.6,1714950858
47,8,2.6,1734712978
22,7,3.7,1589668169
4,15,1.3,1658477476
34,13,3.8,1639626428
38,5,1.1,1623143317
27,18,1.8,1603671311
6,11,3.0,1650553751
11,16,3.7,1643924805
13,3,3.6,1590447659
48,17,2.5,1676511014
27,5,1.1,1613626340
4,12,1.5,1673238529
44,14,4.3,1631997137
45,6,0.5,1677265113
30,4,3.6,1716041988
43,6,2.6,1687062607
39,17,4.4,1719108603
21,14,5.0,1589358321
7,6,3.1,1680890561
26,3,4.2,1594461933
17,7,3.9,1653986706
49,6,2.1,1674911147
36,17,2.1,1587002444
14,2,4.3,1729278274
28,13,4.8,1592220549
5,11,2.1,1645450019
50,14,5.0,1686783110
24,3,1.4,1581378008
32,7,2.3,1638444439
40,19,2.2,1609377086
31,18,2.6,1676956335
6,3,1.1,1649922356
1,16,1.3,1622502372
20,6,4.6,1678054207
43,8,2.2,1659217736
23,12,0.7,1675162661
10,18,3.1,1581950382
48,4,1.8,1601086931
49,13,1.7,1638504301
16,1,4.4,1601842561
10,19,3.9,1730870062
34,3,3.1,1672754513
26,17,0.9,1688567285
39,11,4.7,1720420996
40,1,2.7,1644190663
50,1,3.8,1605925732
26,15,0.6,1608474363
39,19,3.9,1692485599
27,17,0.6,1688139303
14,12,1.3,1659449010
24,3,4.6,1700782217
22,10,3.4,1678003394
38,2,2.4,1604935238
33,17,3.2,1603317500
9,17,3.0,1727985526
4,13,2.1,1635366111
5,8,2.4,1685323530
21,5,3.9,1633621475
49,14,2.8,1588098586
14,8,4.5,1670080125
27,16,1.1,1588230616
9,3,3.6,1591868117
43,5,5.0,1644034474
38,16,4.6,1581669234
37,6,4.3,1661453952
31,17,1.0,1622743676
19,6,2.1,1621079630
27,12,4.0,1616712829
12,20,3.4,1582464069
22,4,1.2,1645356340
25,1,2.2,1588504939
25,6,0.7,1698760682
13,2,3.9,1676495490
21,15,1.6,1679600912
5,9,2.4,1594716288
40,15,2.1,1600722971
3,19,3.7,1595111061
41,6,4.1,1676765844
33,3,4.1,1715358245
8,12,1.7,1641911225
29,7,4.4,1580916247
45,14,3.2,1733768301
46,13,5.0,1656477931
4,3,3.2,1685894310
14,9,2.4,1646585231
49,16,3.5,1690292127
18,2,4.9,1642410601
8,15,1.8,1707509735
31,20,3.2,1661080276
14,4,0.6,1626208984
24,4,1.6,1718453505
19,18,2.9,1719866776
42,16,4.4,1660689835
1,2,3.2,1713684291
6,17,4.3,1581033913
33,14,3.5,1616230909
6,8,4.3,1619852868
43,20,1.0,1710006993
50,13,4.0,1641771416
17,1,2.1,1592779645
35,14,1.1,1691333199
12,10,1.1,1708492803
50,6,3.2,1719047746
29,9,0.7,1594478567
3,19,2.2,1692053768
26,5,3.6,1658581651
34,18,1.0,1595802526
29,11,4.5,1702752477
34,19,2.9,1639558888
8,11,3.7,1621870503
36,11,2.3,1714562882
41,16,1.8,1720113460
42,18,2.3,1644257169
41,19,1.1,1711118713
30,17,3.3,1687627571
32,18,0.7,1720436025
43,6,2.4,1696998307
37,14,0.6,1692595656
9,7,3.4,1719014923
26,14,3.7,1624587509
48,4,0.6,1700492794
47,3,1.7,1601734059
23,10,4.3,1609433548
34,14,1.0,1735548965
11,20,2.2,1686956994
23,9,2.6,1622677980
21,7,1.2,1603889189
45,19,1.2,1727898354
14,13,4.2,1646033155
14,17,4.1,1608946900
35,1,1.4,1727764549
2,14,2.9,1648838080
42,6,3.8,1691840873
10,12,3.2,1618802809
49,3,3.4,1655244450
27,14,4.8,1668585487
12,15,4.6,1674598553
6,5,1.8,1687215214
14,17,1.6,1635177164
41,12,0.9,1728512360
46,2,4.1,1645349401
20,6,4.2,1682295077
6,16,4.8,1651656245
18,8,2.9,1664534693
45,13,4.1,1705298676
32,1,3.5,1652692413
19,9,3.2,1680832420
9,4,4.7,1734472343
9,8,1.5,1663998824
7,8,2.5,1709351565
15,8,3.1,1683499428
18,20,3.9,1704172911
6,10,2.1,1686895295
49,4,4.1,1722461037
48,7,4.1,1626276712
23,6,0.6,1632653592
24,6,2.1,1633476497
40,15,0.8,1687199904
40,12,1.1,1627665052
38,8,4.4,1733130677
6,15,1.1,1686438784
6,3,4.5,1602205207
17,19,2.0,1580752423
29,19,4.8,1654096181
49,16,4.7,1580944626
20,16,2.0,1605837674
18,19,3.1,1703640422
9,7,2.7,1598569584
30,11,0.7,1703289412
30,6,4.9,1693936210
28,14,1.7,1656206618
2,16,4.8,1639238071
10,15,2.0,1591739051
23,7,4.3,1623358870
15,11,1.8,1633910319
28,5,2.0,1613965381
38,14,4.7,1675015160
29,4,0.6,1604450127
41,19,2.0,1628159336
1,8,3.5,1638484428
45,16,1.2,1627709746
50,11,1.2,1585904837
26,19,0.6,1718183520
22,19,4.2,1604061202
5,16,2.8,1697538063
7,18,2.3,1595901020
18,19,4.7,1640978535
50,20,3.4,1718214599
42,15,4.7,1708560622
29,5,2.5,1587922516
20,10,4.2,1673990981
12,13,2.2,1589285555
44,18,3.6,1585761269
34,16,4.6,1730348510
42,9,4.1,1617680579
32,14,3.5,1728613478
43,17,2.2,1681819130
15,14,2.2,1579126200
33,7,3.1,1651928081
16,4,3.9,1702248676
44,6,1.6,1587670010
8,11,3.6,1582341104
40,20,4.7,1692034144
50,5,4.0,1631581700
1,6,1.6,1668332818
45,15,4.5,1647975687
47,7,4.3,1674874698
16,3,3.1,1648145048
42,19,3.5,1715430618
20,15,1.6,1717601287
26,3,3.8,1635676902
24,9,1.8,1620957937
13,15,3.0,1714562011
14,18,2.0,1617162407
45,16,2.8,1689171325
4,14,3.5,1689464426
31,7,0.6,1649693560
34,16,4.2,1713525093
13,1,4.6,1685986960
39,15,1.6,1731388736
10,5,3.5,1632323542
49,9,3.3,1600960786
12,4,3.9,1688650269
37,16,4.6,1660169731
43,17,2.0,1613558089
16,3,2.8,1590823424
36,7,2.2,1689446574
29,9,3.3,1667897877
45,14,2.5,1702875054
45,1,4.4,1594346190
2,2,0.8,1709115993
50,8,2.6,1610527176
36,2,3.9,1578575029
19,10,4.9,1728579933
39,18,5.0,1729662613
44,7,2.1,1686987052
17,19,3.6,1725926648
1,6,3.6,1630010787
4,15,1.9,1712449432
48,16,4.7,1709050170
14,17,1.0,1621679107
39,8,1.4,1675725608
43,15,4.8,1695558572
26,7,4.6,1579549060
48,5,1.8,1680426810
35,3,1.5,1585955382
34,4,0.9,1652071853
5,11,2.4,1652301276
32,5,4.8,1731332276
